Keyword;Nama Bisnis;Kategori;Rating;Jumlah Ulasan;Nomor Telepon;Punya Website?;Link Website;Alamat;Link Google Maps
toko baju;zazi shop;Toko Pakaian Remaja;5;3;0878-6864-4319;Tidak;;Jl. Ayahanda No.11 A, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113;https://www.google.com/maps/place/zazi+shop/data=!4m7!3m6!1s0x30312f3832f12f17:0xe5b03bd4002c8abb!8m2!3d3.5920068!4d98.6532003!16s%2Fg%2F11fd6n4_2p!19sChIJFy_xMjgvMTARu4osANQ7sOU?authuser=0&hl=id&rclk=1
toko baju;GROSIR PAKAIAN MEDAN;Toko Pakaian Remaja;5;1;0812-7137-3444;Tidak;;Gg. Raya palem No.61f, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123;https://www.google.com/maps/place/GROSIR+PAKAIAN+MEDAN/data=!4m7!3m6!1s0x30312fe43909d27f:0x1a6ec06ed9672d50!8m2!3d3.6010867!4d98.6365453!16s%2Fg%2F11hdwbf96s!19sChIJf9IJOeQvMTARUC1n2W7Abho?authuser=0&hl=id&rclk=1
toko baju;Masterpiece MP Clothing Medan;Toko Kaos Custom;5;1144;(061) 4515953;Tidak;;Jl. Belitung No.36, Sidodadi, Kec. Medan Tim., Kota Medan, Sumatera Utara 20232;https://www.google.com/maps/place/Masterpiece+MP+Clothing+Medan/data=!4m7!3m6!1s0x303131b8c2456e29:0x2bc33bcb7ff88fd7!8m2!3d3.594264!4d98.683829!16s%2Fg%2F1pzyqsth7!19sChIJKW5FwrgxMTAR14_4f8s7wys?authuser=0&hl=id&rclk=1
toko baju;Toko Baju Cantik;Toko Pakaian;5;1;;Tidak;;HMV6+99J, Sei Putih Tim. II, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20111;https://www.google.com/maps/place/Toko+Baju+Cantik/data=!4m7!3m6!1s0x303131d88ed7ae95:0x2445bf29c5d0a29f!8m2!3d3.5934581!4d98.6608876!16s%2Fg%2F11hbgs9z9q!19sChIJla7XjtgxMTARn6LQxSm_RSQ?authuser=0&hl=id&rclk=1
toko baju;Azaryah Medan;Toko Pakaian Seragam;5;6;0823-6207-4949;Tidak;;Gg. Berdikari No.78, Sei Putih Bar., Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118;https://www.google.com/maps/place/Azaryah+Medan/data=!4m7!3m6!1s0x30312feb17bbff7d:0x1015ff42c031c4d2!8m2!3d3.5941112!4d98.6475193!16s%2Fg%2F11hzzxkj6l!19sChIJff-7F-svMTAR0sQxwEL_FRA?authuser=0&hl=id&rclk=1
toko baju;Nayu store;Toko Pakaian Wanita;5;12;0812-7768-7116;Tidak;;Jl. Rajawali No.1m, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20123;https://www.google.com/maps/place/Nayu+store/data=!4m7!3m6!1s0x30312facbf39d633:0x8fd3d659cc0f0abb!8m2!3d3.5903644!4d98.6335014!16s%2Fg%2F11pztmm_f1!19sChIJM9Y5v6wvMTARuwoPzFnW048?authuser=0&hl=id&rclk=1
toko baju;Toko pakaian dan sepatu unik fashion;Toko Pakaian;5;3;0821-2523-4850;Tidak;;Jl. Pabrik Padi ruko topan mas No.8r, Sei Putih Tim. I, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20118;https://www.google.com/maps/place/Toko+pakaian+dan+sepatu+unik+fashion/data=!4m7!3m6!1s0x303131df2127dab7:0xde8e4f07cba99c76!8m2!3d3.5965879!4d98.6626496!16s%2Fg%2F11dfln8613!19sChIJt9onId8xMTARdpypywdPjt4?authuser=0&hl=id&rclk=1
salon;LN Beauty Salon Halat;Salon Kecantikan;5;2038;0812-6004-0606;Tidak;;LN beauty, Jl. Halat, Kota Matsum IV, Kec. Medan Area, Kota Medan, Sumatera Utara;https://www.google.com/maps/place/LN+Beauty+Salon+Halat/data=!4m7!3m6!1s0x303131ba1794b97d:0x6fb67a342088ec12!8m2!3d3.5724299!4d98.6946541!16s%2Fg%2F11m0q8tcqk!19sChIJfbmUF7oxMTAREuyIIDR6tm8?authuser=0&hl=id&rclk=1
salon;Cantik Salon Medan;Salon Kecantikan;5;2;0813-9248-3853;Tidak;;Komplek Tivoli, Jl. Titi Papan No.7B, Sei Sikambing D, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20119;https://www.google.com/maps/place/Cantik+Salon+Medan/data=!4m7!3m6!1s0x30312fac8aaef4eb:0x83abbbe7bef1f04e!8m2!3d3.5897942!4d98.6485046!16s%2Fg%2F11rylkt_f0!19sChIJ6_SuiqwvMTARTvDxvue7q4M?authuser=0&hl=id&rclk=1
salon;Saness Salon & Spa;Salon Kecantikan;5;1058;0812-6267-3450;Tidak;;Jl. Jamin Ginting No.232, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera Utara 20157;https://www.google.com/maps/place/Saness+Salon+%26+Spa/data=!4m7!3m6!1s0x303131ba61810979:0x732189d43e735ed5!8m2!3d3.5657135!4d98.6617912!16s%2Fg%2F11tg6vlss8!19sChIJeQmBYboxMTAR1V5zPtSJIXM?authuser=0&hl=id&rclk=1
